
                             RF1_thin_desl_1e5  RF1_thin_desl_1e5  U1_thin_desl_1e5_
                  X                _aplic             _apoio             aplic      

              457.502E-03        343.399           -343.373             11.3037E-03 
              458.754E-03        345.286           -345.26              11.3658E-03 
              460.006E-03        347.175           -347.148             11.428E-03  
              461.257E-03        349.065           -349.038             11.4903E-03 
              462.509E-03        350.956           -350.93              11.5526E-03 
              463.761E-03        352.848           -352.823             11.615E-03  
              465.001E-03        354.724           -354.7               11.6768E-03 
              466.253E-03        356.619           -356.597             11.7393E-03 
              467.505E-03        358.514           -358.494             11.8017E-03 
              468.756E-03        360.412           -360.393             11.8643E-03 
              470.008E-03        362.31            -362.293             11.9268E-03 
              471.26E-03         364.21            -364.193             11.9894E-03 
              472.5E-03          366.094           -366.078             12.0515E-03 
              473.752E-03        367.996           -367.98              12.1142E-03 
              475.004E-03        369.9             -369.883             12.1769E-03 
              476.255E-03        371.804           -371.787             12.2396E-03 
              477.507E-03        373.709           -373.693             12.3024E-03 
              478.759E-03        375.615           -375.599             12.3652E-03 
              480.011E-03        377.52            -377.507             12.428E-03  
              481.251E-03        379.41            -379.398             12.4903E-03 
              482.503E-03        381.318           -381.307             12.5532E-03 
              483.754E-03        383.226           -383.217             12.6161E-03 
              485.006E-03        385.135           -385.127             12.679E-03  
              486.258E-03        387.045           -387.037             12.7419E-03 
              487.51E-03         388.955           -388.948             12.8049E-03 
              488.75E-03         390.849           -390.842             12.8673E-03 
              490.002E-03        392.761           -392.753             12.9303E-03 
              491.253E-03        394.672           -394.665             12.9933E-03 
              492.505E-03        396.584           -396.578             13.0563E-03 
              493.757E-03        398.496           -398.49              13.1193E-03 
              495.009E-03        400.408           -400.404             13.1823E-03 
              496.26E-03         402.321           -402.318             13.2453E-03 
              497.501E-03        404.215           -404.215             13.3077E-03 
              498.752E-03        406.128           -406.129             13.3707E-03 
              500.004E-03        408.04            -408.042             13.4337E-03 
              501.253E-03        409.953           -409.956             13.4968E-03 
              502.501E-03        411.867           -411.869             13.5597E-03 
              503.76E-03         413.797           -413.799             13.6233E-03 
              505.009E-03        415.709           -415.712             13.6863E-03 
              506.257E-03        417.622           -417.624             13.7493E-03 
              507.505E-03        419.534           -419.537             13.8123E-03 
